NO,Title_Key,Title_Name,Title_Name_JP,Greeting,Closing,User_Title,Use_YN,Update_Date
1,DS,드래곤 킹덤,王国のドラゴン,いつも「王国のドラゴン」をご利用いただき、ありがとうございます。,これからも「王国のドラゴン 」をよろしくお願いいたします。,お客様,Y,2024-03-19
2,GBTW,건쉽배틀: 토탈워페어,ガンシップバトル:トータルウォーフェア,いつも「ガンシップバトル:トータルウォーフェア」をご利用いただき、誠にありがとうございます。,今後とも「ガンシップバトル:トータルウォーフェア」をよろしくお願い致します。,提督様,Y,2024-03-19
3,LOS,슬라임 레전드,スライム伝説,モンスターの森を守るぞ！\nいつも「スライム伝説」をご利用いただき、誠にありがとうございます。,今後とも「スライム伝説」をよろしくお願いいたします。,お客様,Y,2024-03-19
4,POTC,캐리비안의 해적,パイレーツ･オブ･カリビアン 大海の覇者,いつも『パイレーツ･オブ･カリビアン 大海の覇者』をご利用いただき、ありがとうございます。,今後とも『パイレーツ･オブ･カリビアン 大海の覇者』をよろしくお願いいたします。,船長,Y,2024-03-19
5,WWMC,월드워머신즈 컨퀘스트,ワールド・ウォー・マシーンズ・コンクエスト,Replay the World War、\nいつも「ワールド・ウォー・マシーンズ・コンクエスト」をご利用いただき、ありがとうございます。,これからも「ワールド・ウォー・マシーンズ・コンクエスト 」をよろしくお願いいたします。,司令官様,Y,2024-03-19
